,Business Name,Business Address,Business Phone Number
293,Serena Restaurant,"2309-11 W Devon Ave, Chicago, IL 60659",(773) 338-5800
294,Shaahi Biryani,"246 Town Center Ln, Glendale Heights, IL 60139",(630) 614-4546
295,Shalimar Grocery,"474 N. Green Bay Rd, Waukegan, IL 60085",(847) 599-9306
296,Shalimar Restaurant,"474 N. GREENBAY RD, WAUKEGAN, IL 60085",(847) 599-9306
297,Sheeba Mandi House,"3456 W. Foster Ave, Chicago, IL 60625",(773) 654-3349
298,Sheeba Meat & Grocery,"4307 W. Lawrance Ave, Chicago, IL 60630",(773) 481-1123
299,Sheikhs N Burgers,"82-37 164 Street, Jamaica, NY 11432",(347) 829-3052
300,Shibam by Devon,"6257 McCormick Blvd, Chicago, IL 60659",(773) 654-1499
301,Shibam on Elston,"4807 N. Elston Ave., Chicago, IL - 60630",(773) 993-0518
302,Shibam on Harlem,"9052 Harlem Ave. Bridgeview, IL - 60455",(708) 599-1112
303,Shinwari,"2948 W. DEVON AVE, CHICAGO, IL 60659",(773) 856-6606
304,Sky Halal Meats,"4342 Hwy E, New Haven, MO - 63068",(573) 237-4773
305,Slappin Chick,"19 N Broadway, Hicksville, NY 11801",(718) 569-5580
306,Smokin Grill Xpress,"3611 14th St, Suite 110, Plano, TX 75074",(469) 755-9062
307,SPICE WOK,"13340 Audelia Rd #135, Dallas, TX 75243",(469) 213-2409
308,St. Helen's Meat Packers,"1 Glen Scarlett Rd, Toronto, ON M6N 1P5, Canada",http://www.sthelensmeat.com/
309,Star Packing,"3813 Cote Brilliante Ave, Saint Louis, MO 63113",(314) 652-0262
310,Star Restaurant,"326 Chamberlain Ave, Paterson, NJ 07502",(973) 653-3208
311,Strauss Brands Inc.,"9775 S 60th St, Franklin Park WI 53132",(414) 803-4952
312,Student Burger,"2110 Army Trail Rd, Addison, IL 60101",(630) 376-6058
313,Sundarbans Fish Bazar,"2200 W. Devon Ave., Chicago, IL - 60659",(773)-761-8780
314,Superior Farms (M-2800),"7390 Rio Dixon Rd, Dixon CA, 95620",530-297-3520
315,Superior Farms (M-5883),"4900 Clarkson, Denver, CO 80216",530-297-3520
316,Sweet Reserve Bakery,"625 E Roosevelt Rd, Lombard, IL 60148",(630) 899-4896
317,Tabaq Restaurant,"1245 N. Clybourn Ave, Chicago, IL 60610",(312) 944-1245
318,Tahoora Sweet & Bakery,"2345 W. Devon Ave. Chicago, IL 60659",(773) 743-7272
319,Taj Grill & Gyro,"700 Oak Tree Ave, South Plainfield, NJ 07080",(908) 941-3430
320,TANDOORI AL BADIA,"234 Roosevelt Rd, Villa Park, IL 60181",(630) 433-2023
321,TANDOORI RESTAURANT,"9344 Ballard Rd, Des Plaines, IL 60016",(847) 824-6550
322,Tasty Nihari,"2255 W Schaumburg Rd, Schaumburg, IL 60194",(847) 524-1401
323,Tawakkul Restaurant,"6410 N. Claremont Ave, Chicago, IL 60659",(773) 654-1424
324,TAYBA MEAT MARKET,"8992 PRESTON RD, SUITE 104, FRISCO, TX 75034",(469) 294-6767
325,Texas King Irving,"3455 N Beltline Rd, Irving, TX 75062",(469) 579-6417
326,Texas King Irving,"3455 N Beltline Rd, Irving, TX 75062",(972) 871-0006
327,Texas King Plano,"3825 W Spring Creek Pkwy Plano, TX 75023",(972) 596-7786
328,Texas King Plano / Plano Village,"3825 W Spring Creek Pkwy Plano, TX 75023",(972) 596-7786
329,The Cluckin,"18110 Midway Rd #104, Dallas, TX 75287",(972) 685-5548
330,The Halal Burger,"6234 N California Ave, Chicago, IL 60659",(773) 856-6663
331,The Halal Burger,"916E E Roosevelt Rd, Lombard, IL 60148",(630) 656-1038
332,The Real BBQ,"6900 ALMA DR, STE 100, PLANO, TX 75023",(972) 517-5151
333,Tim Tim's Halal Grill,"4148 W MONTROSE AVE, CHICAGO, IL 60641",(773) 657-3180
334,Transylvania Meat Co,"7518 St Louis Ave, Skokie, IL 60076",(847) 227-9627
335,Turan Uyghur Kitchen,"2001 Coit Rd #163, Plano, TX 75075",(469) 910-8028
336,Two Brothers Chicken & Sub (ONLY THIS LOCATION),"14845 Build America Dr, Woodbridge, VA 22191",(703) 491-3663
337,Two Brothers Chicken Express,"9745 Liberia Ave, Manassas, VA 20110",(703) 595-0109
338,Tyler Custom Cuts,"653 Big Spring Road, Newville PA",(717) 379-2273
339,UROOJ CATERERS AND BBQ,"SKOKIE, IL",(224) 935-2516
340,US Halal Meat,"143 Jim Lamb Rd, Sherman, TX 75090",(972) 408-5876
341,Vaigai Restaurant,"2411 Coit Rd Ste 160, Plano, TX 75075",(469) 467-9525
342,Valley Meat Packing Corp,"2812 Settle Rd, Newark, NY 13811",(607) 642-9598
343,Vineland Poultry,"1100 South Mill Rd, Vineland, NJ 08360",(856) 447-7777
344,VitaVive Nutritions,"6315 N. Milwaukee Ave, Chicago, IL 60646",(773) 853-0058
345,Westminster Meat Packing Inc,"52 Seafood Lane, Westminster, VT 05158",(617) 866-1156
346,Wholesale Halal Meat,"Beaverton, OR",(503) 484-8766
347,Wild Feather,New York,(516) 210-6535 | purchasing@wildfeatherpoultry.com
348,Wok & Grill (Lahori Masala),"739 Elmont Road, Elmont, NY 11003",(516) 285-1100
349,Wolverine Packing Co.,1340 Winder St. Detroit.,(313)259-7500
350,World Fresh Market,"2434 W Devon Ave, Chicago, IL 60659",(773) 508-0700
351,Yaman Halal Meat,"6064 West Hwy 56, Ector, TX 75439",(214) 709-0707
352,Yaseen Zabiha Halal Meat & Grocers (New Owner),"2243 W Devon Ave, Chicago, IL 60659",(773) 743-6934
353,Yogurt La Crepe (Healthy Sugar NYC),"29-02 Ditmars Blvd, Astoria, NY 11102",(917) 832-6930
354,Z Certified Meats LLC,"Lorton, VA",zcertifiedmeats@gmail.com
355,Zabiha Halal Meat Processors,"1884 Harvest Lane, Glendale Heights, IL-60139",(630) 620-5000
356,Zahid Nihari,"948 S Barrington Rd, Streamwood, IL 60107",(630) 855-6235
357,ZEM ZEM GROCERY,"888 Illinois Rte 59 STE 112Naperville, IL 60540",(630) 922-8105
358,Zubaidah Halal Meat & Grocery,"59 Walden Ave, Buffalo, NY 14211",(716) 240-0062
